"대분류","중분류","소분류","기능","설명","작업상태","우선순위","전제조건","인수조건"
"인증","계정","로그인","사용자 로그인 API","이메일/비밀번호 기반 인증 토큰 발급","미착수","P0","사용자 테이블 설계","1) 유효 자격증명 시 JWT 발급 2) 만료 토큰 갱신 가능 3) 잘못된 자격증명 401 반환"
"인증","계정","로그아웃","로그아웃 및 토큰 무효화","발급된 토큰을 무효화하고 세션을 종료한다.","미착수","P0","토큰 블랙리스트 또는 refresh token 관리","1) 로그아웃 시 토큰 무효화 2) 이후 해당 토큰 요청 401 반환"
"인증","계정","권한","사용자 역할 기반 접근 제어 (RBAC)","admin/analyst/viewer 역할에 따라 API 접근을 제어한다.","미착수","P1","역할 정의 및 미들웨어 구성","1) 역할별 엔드포인트 접근 제한 2) 권한 없는 요청 403 반환 3) 역할 확장 가능한 구조"
"프로젝트","관리","생성","프로젝트 생성 API","프로젝트 이름/유형/목적/데이터소스 정보를 받아 신규 프로젝트를 생성한다.","미착수","P0","프로젝트 테이블 설계","1) 필수 필드 누락 시 400 반환 2) 생성 후 프로젝트 ID 반환 3) 생성자 사용자 ID 연결"
"프로젝트","관리","목록","프로젝트 목록 조회 API","최근 활동순으로 프로젝트 목록과 진행 상태/응답 수/태그 메타를 반환한다.","미착수","P0","프로젝트 테이블 및 집계 뷰","1) 페이지네이션 지원 2) 진행상태 배지 기준값 정의 3) 최근 활동 시각 정렬"
"프로젝트","관리","상세","프로젝트 단건 조회 API","프로젝트 ID로 상세 정보를 반환한다.","미착수","P0","프로젝트 생성 API","1) 존재하지 않는 ID 404 반환 2) 연결된 설문/리포트 수 포함 3) 권한 없는 접근 403"
"프로젝트","관리","수정","프로젝트 메타 수정 API","프로젝트 이름/설명/태그를 수정한다.","미착수","P1","프로젝트 단건 조회 API","1) 수정 후 갱신된 프로젝트 반환 2) 부분 수정(PATCH) 지원 3) 변경 이력 기록"
"프로젝트","관리","삭제","프로젝트 삭제 API","프로젝트와 연결된 설문/리포트를 함께 삭제(soft delete)한다.","미착수","P2","프로젝트 단건 조회 API","1) soft delete 처리 2) 연결 데이터 cascade 처리 3) 복구 가능 기간 정의"
"페르소나","풀","생성","페르소나 풀 생성 API","세그먼트/연령/성별/직업 등 조건을 기반으로 디지털 트윈 페르소나 집합을 생성한다.","미착수","P0","LLM 연동 및 페르소나 스키마 정의","1) 조건 기반 페르소나 N건 생성 2) 각 페르소나 점수 초기화 3) 프로젝트에 귀속"
"페르소나","풀","목록","페르소나 목록 조회 API","페이지네이션 및 뷰 모드(카드/리스트)에 맞는 페르소나 목록을 반환한다.","미착수","P0","페르소나 풀 생성 API","1) 페이지/사이즈 파라미터 지원 2) 카드/리스트 공통 응답 스키마 3) 총 건수 포함"
"페르소나","풀","검색","페르소나 검색 API","이름/세그먼트/키워드 기반으로 페르소나를 검색한다.","미착수","P1","페르소나 목록 조회 API","1) 부분 문자열 검색 지원 2) 세그먼트 필터 중복 선택 가능 3) 결과 0건 빈 배열 반환"
"페르소나","풀","상세","페르소나 상세 조회 API","페르소나 ID로 프로필/점수/구매이력/활동로그/관심사를 반환한다.","미착수","P0","페르소나 풀 생성 API","1) 존재하지 않는 ID 404 2) 점수 실시간 계산 포함 3) CoT 로그 포함"
"페르소나","점수","계산","페르소나 파생 점수 자동 계산","Churn Risk / Engagement Score / Future Value / Data Confidence를 실시간 산출한다.","미착수","P0","페르소나 기반 점수 데이터","1) 공식 정의 문서화 2) 계산 결과 캐싱 지원 3) 입력값 변경 시 재계산"
"세그먼트","필터","집계","필터 기반 세그먼트 집계 API","연령/성별/직업/제품군/채널/지역/세그먼트 조건을 받아 해당 페르소나 분포를 집계한다.","미착수","P0","페르소나 풀 및 필터 파라미터 스키마","1) 다중 필터 AND 조건 적용 2) 집계 결과에 건수/비율 포함 3) 빈 결과 빈 배열 반환"
"세그먼트","시각화","차트","세그먼트/채널/제품/지역 분포 차트 데이터 API","도넛/바 차트에 필요한 label-value 배열을 반환한다.","미착수","P0","필터 기반 세그먼트 집계 API","1) 차트 타입별 포맷 통일 2) 색상 코드 포함 3) 필터 변경 시 실시간 갱신 가능"
"세그먼트","시각화","KPI","세그먼트 분석 KPI 지표 API","선택 세그먼트의 총 인원/평균 구매의향/마케팅 수용도/브랜드 선호 지표를 반환한다.","미착수","P1","필터 기반 세그먼트 집계 API","1) 지표 4종 포함 2) 이전 기간 대비 변화율 포함 3) 필터 동기화"
"설문","에이전트","생성","AI 설문 문항 생성 API","프로젝트 목적/유형과 자연어 요청을 받아 LLM 기반으로 설문 문항을 생성한다.","미착수","P0","LLM 연동 (OpenAI/Claude API)","1) 문항 타입(단일/복수/리커트/주관식) 자동 분류 2) 문항 수 파라미터 지원 3) 스트리밍 응답 지원"
"설문","에이전트","수정","AI 설문 문항 수정 API","자연어 수정 요청을 받아 기존 문항을 변경/추가/삭제한다.","미착수","P0","AI 설문 문항 생성 API","1) 대상 문항 ID 특정 지원 2) 변경 전후 diff 반환 3) 전체 문항 순서 유지"
"설문","문항","CRUD","설문 문항 직접 CRUD API","문항 텍스트/타입을 직접 생성·수정·삭제한다.","미착수","P0","설문 테이블 및 문항 스키마","1) 생성 시 순번 자동 부여 2) 삭제 시 순번 재정렬 3) 동시 편집 충돌 처리"
"설문","문항","저장","설문 확정 저장 API","문항 목록 전체를 확정 상태로 저장하고 시뮬레이션 실행 가능 상태로 전환한다.","미착수","P0","설문 문항 CRUD API","1) 문항 수 최소 1개 이상 검증 2) 저장 후 상태 'confirmed'로 변경 3) 중복 저장 방지"
"설문","문항","미리보기","설문 미리보기 데이터 API","저장 전 현재 문항 목록을 렌더링 가능한 형태로 반환한다.","미착수","P1","설문 문항 CRUD API","1) 임시 상태 문항 포함 2) 문항 타입별 옵션 포함 3) 순서 보장"
"시뮬레이션","실행","제어","시뮬레이션 시작/중단 API","디지털 트윈 페르소나 응답 생성 루프를 시작하거나 중단한다.","미착수","P0","설문 확정 + 페르소나 풀 확정","1) 시작 시 job ID 반환 2) 중단 시 현재 진행률 보존 3) 중복 실행 방지"
"시뮬레이션","응답","생성","페르소나별 응답 생성 API (LLM)","페르소나 프로필과 설문 문항을 컨텍스트로 LLM이 응답 + CoT를 생성한다.","미착수","P0","LLM 연동 + 페르소나/설문 데이터","1) 응답 + CoT 단계 배열 반환 2) 일관성 지수(Integrity Score) 자동 계산 3) 응답 DB 저장"
"시뮬레이션","응답","스트리밍","실시간 응답 피드 스트리밍 API","생성되는 응답을 Server-Sent Events 또는 WebSocket으로 클라이언트에 스트리밍한다.","미착수","P0","페르소나별 응답 생성 API","1) 신규 응답 생성 즉시 푸시 2) 연결 끊김 재연결 지원 3) 시뮬레이션 중단 시 스트림 종료"
"시뮬레이션","진행률","집계","시뮬레이션 진행률 조회 API","완료 응답 수 / 타겟 페르소나 수를 기반으로 진행률을 반환한다.","미착수","P0","시뮬레이션 실행 API","1) 진행률 % 및 절대값 반환 2) 폴링 또는 SSE 지원 3) 완료 시 100% 고정"
"시뮬레이션","분석","분포","문항별 응답 분포 집계 API","선택 문항 ID 기반으로 옵션별 응답 건수/비율을 집계해 반환한다.","미착수","P0","페르소나별 응답 생성 API","1) 진행 중에도 실시간 집계 가능 2) 옵션 순서 설문 정의 기준 3) 비율 소수점 1자리"
"시뮬레이션","분석","인사이트","AI 실시간 심층 인사이트 API","응답 분포를 기반으로 LLM이 시장 인지도 진단 및 전략적 핵심 과제를 생성한다.","미착수","P0","문항별 응답 분포 API + LLM 연동","1) 인사이트 요약/전략 2개 섹션 반환 2) 문항 변경 시 재생성 3) 캐시 TTL 설정"
"시뮬레이션","분석","키워드","텍스트 마이닝 키워드 추출 API","주관식 응답 근거 텍스트에서 고빈도 키워드와 트렌드 방향(up/flat/down)을 추출한다.","미착수","P1","LLM 또는 NLP 파이프라인","1) 상위 N개 키워드 반환 2) 빈도 점수 포함 3) 트렌드 방향 분류"
