"대분류","중분류","소분류","기능","설명","작업상태","우선순위","전제조건","인수조건"
"공통","레이아웃","전역구조","고정 헤더 + 좌측 사이드바 레이아웃","모든 페이지에서 상단 헤더와 좌측 메뉴를 고정 제공한다.","진행중","P0","React Router 기반 공통 Layout 구성","1) 라우트 전환 시 레이아웃 유지 2) 콘텐츠 영역만 교체 3) 스크롤 충돌 없음"
"공통","내비게이션","사이드바","섹션별 메뉴 라우팅(홈/워크플로우/운영)","사이드바 메뉴 클릭으로 각 페이지로 이동한다.","진행중","P0","라우트 경로 정의","1) 메뉴 클릭 시 해당 경로 이동 2) 활성 메뉴 하이라이트 3) 경로별 breadcrumb 갱신"
"공통","내비게이션","사이드바","사이드바 접기/펼치기","메뉴를 미니/확장 모드로 전환한다.","진행중","P1","사이드바 상태 관리","1) 토글 즉시 폭 변경 2) 축소 시 아이콘만 노출 3) 레이아웃 깨짐 없음"
"공통","내비게이션","상단","현재 경로 breadcrumb 표시","현재 섹션/페이지명을 헤더에 표시한다.","진행중","P1","경로-메뉴 매핑 데이터","1) 경로 변경 시 breadcrumb 동기화 2) 잘못된 경로 기본값 처리 3) 텍스트 잘림 대응"
"공통","사용자메뉴","계정","유저 카드 팝업(설정/로그아웃)","하단 유저 카드 클릭 시 계정 메뉴를 표시한다.","진행중","P2","외부 클릭 감지 로직","1) 클릭 시 팝업 열림 2) 외부 클릭 시 닫힘 3) 설정 메뉴 이동 가능"
"공통","알림","헤더","알림 배지 UI","헤더에 알림 아이콘과 카운트 배지를 제공한다.","진행중","P2","헤더 컴포넌트 구성","1) 알림 아이콘 노출 2) 배지 숫자 표시 3) 레이아웃 정렬 유지"
"공통","AI어시스턴트","플로팅챗","우하단 플로팅 AI 채팅창","전역에서 AI 챗 버튼으로 대화창을 열고 닫을 수 있다.","진행중","P0","FloatingAiChat 컴포넌트 연결","1) 버튼 클릭 시 챗 열림/닫힘 2) 입력 후 응답 표시 3) 대화 자동 스크롤"
"공통","AI어시스턴트","플로팅챗","근거/신뢰도 카드 렌더링","AI 답변에 evidence와 confidence 정보를 함께 표시한다.","진행중","P1","메시지 데이터 스키마","1) evidence 존재 시 카드 노출 2) key-value 렌더링 정상 3) 메시지별 시간 표시"
"홈","프로젝트","시작","새 프로젝트 설계 시작 버튼","홈에서 새 프로젝트 생성 플로우를 시작한다.","진행중","P0","위저드 모달 상태 관리","1) 버튼 클릭 시 모달 오픈 2) 닫기 동작 정상 3) 초기 상태 리셋"
"홈","프로젝트","위저드","4단계 프로젝트 생성 위저드","목적 설정→유형 선택→데이터 연결→설계 완성 단계를 제공한다.","진행중","P0","단계 상태 및 입력값 관리","1) 단계 전환 가능 2) 필수값 없으면 다음 비활성 3) 완료 시 설문 페이지 이동"
"홈","프로젝트","템플릿","템플릿 라이브러리 선택 생성","템플릿 카드 클릭 시 해당 유형으로 위저드를 시작한다.","진행중","P1","템플릿 메타데이터 정의","1) 카드 정보 노출 2) 클릭 시 템플릿 프리셋 적용 3) 위저드 단계 정상 반영"
"홈","프로젝트","최근활동","최근 프로젝트 카드 목록","최근 프로젝트의 진행상태/응답수/태그를 카드로 노출한다.","진행중","P1","프로젝트 목록 데이터","1) 상태 배지 노출 2) 진행률 바 렌더링 3) 카드 클릭 시 설문 화면 이동"
"세그먼트분석","워크플로우","모바일","워크플로우 스테퍼","모바일에서 분석 단계(분석/설문/실시간/리포트) 이동 UI를 제공한다.","진행중","P1","WorkflowStepper 연결","1) 현재 단계 강조 2) 완료 단계 체크 표시 3) 단계 클릭 이동"
"세그먼트분석","필터","사이드패널","필터 섹션 접기/펼치기","연령/성별/제품군/세그먼트 등 필터 섹션을 토글한다.","진행중","P0","섹션 open 상태 관리","1) 섹션별 독립 토글 2) 카운트 배지 동기화 3) 스크롤 성능 유지"
"세그먼트분석","필터","조건선택","제품군/세그먼트/채널/지역 선택","체크 기반으로 분석 대상 조건을 선택한다.","진행중","P0","체크 상태 데이터 관리","1) 체크 상태 즉시 반영 2) 선택 수 표시 정확 3) 스타일 상태 분기 정상"
"세그먼트분석","시각화","대시보드","세그먼트/채널/제품/지역 차트 렌더링","도넛/바/막대 기반 분포 현황을 시각화한다.","진행중","P0","Recharts 컴포넌트 구성","1) 차트 데이터 정상 표시 2) 툴팁 노출 3) 반응형 깨짐 없음"
"세그먼트분석","필터","적용","분석 필터 적용 버튼","선택한 조건을 반영하는 실행 버튼 UI를 제공한다.","진행중","P1","필터 상태 집계","1) 버튼 노출 2) 클릭 이벤트 연결 3) 추후 API 연동 가능한 구조"
"설문디자인","대화","에이전트챗","좌측 설문 에이전트 채팅","자연어 요청을 입력해 설문 문항 수정을 요청한다.","진행중","P0","채팅 메시지 상태 관리","1) 사용자 입력 전송 2) 봇 응답 표시 3) 엔터 전송 지원"
